문장,유형
식품 소재별 시장 규모가 작아서 한 기업이 대응하기 어려우면 여러 기업이나 연구소가 힘을 합치는 것도 좋은 방법이다,추론형
골목을 소재로 이런 이미지를 완성한 시인은 삶과 시 양쪽을 모두 깨달은 사람 같다,추론형
이렇게 눈이 안 오면 우리는 언젠가 눈의 서사를 잃어버릴지도 모른다,추론형
처음에는 후대했으나 유구국에 보물이 많다는 이야기를 듣고 돌변해서 세자 일행을 잡아다가 보물을 달라며 갖은 방법으로 협박했다,추론형
중국 증시 상승에 베팅하고 싶다면 다양한 펀드상품을 활용하면 좋다,추론형
대개 운율이 없고 밋밋한 산문이지만 그 쾌감은 강력하다,추론형
푸드테크산업을 단순히 신기술이 접목된 식품산업으로 이해해서는 곤란합니다,추론형
이와 함께 대출금액에 따라 세무회계 컨설팅a 특화 자산관리 서비스임직원 자산관리 세미나 등의 비금융서비스도 제공 받을 수 있다,추론형
휴대성도 좋다,추론형
최근 전국에 내린 비로 급한 가뭄은 해결됐지만 농작물 작황이 나빠진 것도 한몫했다,추론형
두 번째 잠복한 뇌관은 1월 총선을 겨냥한 포퓰리즘식 부동산 규제완화와 개발사업이다,추론형
티모 뮐러는 모두 대응하기는 어렵겠지만 늘 세심하게 모니터링하고 있다는 점을 믿어 주시면 좋겠다라며 피드백은 언제든 환영하며 적극적으로 살펴 최대한 적용할 수 있도록 노력하겠다라고 강조했다,추론형
또 어떤 호의의 제공이나 법적 의무가 기재돼 있는 서류에 덜컥 서명하는 일은 삼가야 한다,추론형
참가자들은 총 1개까지 출품 희망 부문을 복수 선택할 수 있다,추론형
헬기는 탑승객들을 태우지 않기 때문에 책임 및 손실 보상이 적기 때문이다,추론형
미래 먹거리 사업으로 이동형 로봇 분야를 점찍은 a의 사례가 눈에 띈다,추론형
조선의 여러 기술 중 의술을 가장 믿을 수 없다,추론형
뇌가 지속 가능한 성장을 이루기 위해서는 가슴을 뛰게 하며 가치 있는 비전이 있어야 한다,추론형
정부와 산업계는 한국 경제가 물가 상승임금 인상고물가소비 감소경기 둔화의 소용돌이에 빠질 수 있다며 경고하고 나섰다,추론형
냉혹한 글로벌 자본주의와 숨 가쁜 디지털 혁명의 시대에 개인과 기업 국가가 온갖 불안에 휩싸이는 것은 피할 수 없다,추론형
특히 도널드 트럼프 미국 행정부가 무역법 1조슈퍼 1조를 내세워 다시 수입산 자동차에 관세를 부과할 것이란 전망도 불확실성을 가중시키고 있다,추론형
블록딜 쇼크는 증권가에서 어렵지 않게 볼 수 있다,추론형
당장의 고통을 모면하려 들면 훨씬 큰 손실이 뒤따른다는 걸 경험칙으로 알면서도 사후책임이 두려워 미적대기 일쑤다,추론형
한국당이 총선에서 실정 심판으로 각을 세우려면 문 닫은 소상공인 한 명쯤은 영입해야 한다고 본다,추론형
김 교수는 향후 과세근거를 명확히 해야 한다고 강조했다,추론형
아산의 봄 아산의 자연을 느껴보기에 그만한 곳도 드물다,추론형
상위권 학생들 사이에서 이과 쏠림이 더욱 가속화되고 있다는 우려의 목소리가 높아지고 있다,추론형
중국은 a1 국가로서 인류의 건강과 행복에 대해 책임감을 느껴야 한다,추론형
눈이 건조하면 뻑뻑하고 아파 잘 뜨지 못하고 빛에 대한 민감도가 높아져 눈부심이 심해진다,추론형
외부 환경이 급변하는 시기에는 기업이나 국가나 서로를 향해 총질하는 내분이 발생하면 그걸로 끝이다,추론형
남자는 암탉 여자는 수탉을 사용해야 한다,추론형
그 실패가 쌓이고 쌓여 우주 강국으로 등극하는 밑거름이 됐다,추론형
아원고택은 입장료 1만 원을 내면 누구나 갤러리와 고택을 구경하고 쉬어갈 수 있다,추론형
깔깔거리며 신바람 나게 뛰어다니고 싶은 사람에게 서피비치를 추천하기는 조금 망설여진다,추론형
조선 후기 서리아전의 폐해는 실로 막심했다,추론형
성장도 더뎠고 달러 대비 원화 가치도 하락한 결과다,추론형
늘 하는 간단한 계약 정도가 아니라면 법률 전문가의 철저한 도움을 받아 작성해야 한다,추론형
a부터 빅데이터바이오까지 푸드테크 기술을 적용하면 개개인의 상황별 수요에 맞는 맞춤형 식품 서비스가 일상화할 수 있기 때문이다,추론형
추 장관과 윤 총장이 검찰개혁 작업 및 청와대를 겨냥한 수사가 동시에 이뤄지는 상황에서 향후 긴장 관계를 이어갈 것으로 보여 두 사람 사이에 어떤 대화가 오갔는지 주목된다,추론형
표면적으로는 농축수산물석유류 등의 물가 하락폭이 크지만 근원물가 역시 1대 상승률에 그쳤기 때문이다,추론형
성현의 용재총화는 우리나라에는 명화가 별로 없다 근래로부터 본다면 공민왕의 화격이 대단히 높은 경지에 이르렀다면서 지금 도화서에 소장되어 있는 노국대장공주진과 흥덕사에 있던 석가출산상은 모두 공민왕이 손수 그린 그림이며 간혹 큰 부잣집에 산수를 그린 것이 있는데 비할 데 없이 뛰어나다고 논평한다,추론형
아무리 바쁘더라도 자신의 건강 가족의 건강을 위해 끝까지 꼭 정독해 주시기를 바라마지 않는다,추론형
감히 말로 할 수 없다,추론형
장영실을 너드과학 등 특정 분야에 몰입해 사회성이 떨어지는 사람처럼 그리는 대신 최민식표 상남자로 표현한 것이 대표적이다,추론형
그래서인지 보통의 인간은 일생의 1년이란 긴 시간을 화장실에서 나를 떨어뜨리려 애쓰며 보낸다,추론형
반려동물 인구가 급증하며 동물에 대한 관심도 커지는 것을 원인 중 하나로 꼽을 수 있다,추론형
음주운전을 하다 단속에 걸리는 사람 1명 중 1명꼴로 1회 이상 상습범인 셈이다,추론형
저축은행 입장에서는 유동성 규제 등에 대응해 장기적이고 안정적인 자금 운용이 필요한 만큼 일단 정기예금 금리를 올려 예금자들을 오래 잡아둬야 유리한 상황이다,추론형
말이나 행동이 아닌 심정이 드러나는 표정 연기가 더 중요할 수 있다,추론형
게다가 초청받은 기업들도 입장하려면 출입증 하나당 1달러를 지불해야 한다,추론형
내 인생에 처음으로 느껴본 흰 고독이었다,추론형
이번 추가 연장으로 인해 항공업계에는 공항시설 사용료 1억원과 상업시설 임대료 1억원 업무시설 임대료 1억원 등 총 1억원의 지원효과가 있을 것으로 기대된다,추론형
이러한 자세와 생각들이 자라서 성인이 되면서 자기 주관적인 삶이 아닌 남을 배려하고 이끌어가는 올바른 성인으로 자라날 수 있을 것이다,추론형
금융당국이 동산금융 활성화 등 혁신금융을 요구한 이유도 이 때문이다,추론형
올 여름 배롱나무 백일홍과 인연을 맺을 수 있다면 그것은 종교를 떠나 부처와의 만남을 뜻하는 것이니 생성과 소멸이라는 우주의 원리를 담고 있는 백일홍의 깊은 아름다움을 꼭 한번 만나 볼 것을 기원해 본다,추론형
세부 항목에서 미래에 연금이 잘 적립되는 정도를 평가한 순위가 1위에서 1위로 1계단 급락하고 국내총생산a 대비 재정적자 비중과 정부지출 비중이 각각 1계단 하락한 게 결정적인 영향을 준 것으로 풀이된다,추론형
권성동 국민의힘 원내대표도 정책위의장이 정부에 연락해 각종 관세율 인하를 주문하고 있다고 지원했다,추론형
이와 함께 마스크가 물에 젖으면 세균 번식 위험이 높다는 방역당국의 우려가 나와 또 한 번 논란에 휩싸였다,추론형
확실히 잡아야 할 하위권 팀과의 경기에서 주춤하면서 상위권 도약 기회를 날린 것이다,추론형
당뇨병 치료제 메트포르민을 사용할 때는 비타민 a1를 보충해주어야 한다,추론형
학습 및 자기개발 영역은 직업 및 경력 영역과 관련하여 자신의 직무에 맞는 전문성 향상과 승진전략을 공통으로 살펴봐야 한다,추론형
국가 차원에서 현금의 디지털화를 시도하는 것이다,추론형
드론소프트웨어 개발 기업인 아이지아이에스도 사우디아라비아의 한 기업과 신규 사업 관련 투자유치 협약을 체결했고 카타르a 등 현지 기업과도 기술 제휴를  기대하고 있다,추론형
이 같은 흐름과 최근에는 화장품 매출이 늘어날 것이라는 기대감과 함께 화장품 관련주가 일제히 강세를 보이기도 했다,추론형
그런데 이 뮤지컬 한마디로 물건이다,추론형
그렇지만 훗날 크게 이름을 떨친 이는 한음 이덕형1세 때 합격 등 극히 소수에 불과하다,추론형
시원하게 한 그릇 비우고 나면 몸과 마음이 어느새 리프레시되며 힘이 불끈 솟아오른다,추론형
계약 내용부터 체결과 작성 과정까지 모든 게 복잡해진 시대다,추론형
일본 애니메이션풍 캐릭터 및 화면 연출에 서브컬처 장르 마니아들이 선호할 게임 요소들을 대거 탑재했다,추론형
그러므로 면역력과 자생력이 저하된 환자들의 문제와 의약품의 부작용과 후유증에 관한 문제에는 대체 의약품이 최선의 대안이라고 할 수 있다,추론형
유니크나 레전더리 등급의 스컬은 더욱 재미있을 듯 하다,추론형
영화에 대한 그의 사랑은 강박에 가깝다,추론형
휴대폰 보급 확산을 간과하면서 우리 기억 속에서 사라진 기업인 코닥과 전자상거래 업체인 아마존의 존재를 무시했다가 존폐 위기에 놓인 대형 유통업체들의 전철을 밟지 않으려면 기후변화라는 새로운 상황에 대한 인식 전환은 필수다,추론형
카오스 고블린 조합을 통해 신년 소환서를 최대 1등급까지 업그레이드할 수 있다,추론형
핵심은 다중 인증시스템을 도입하여 더욱 촘촘한 보안망을 구축하는 것에 있다,추론형
문집은 중국으로 다시 들어갔다가 전겸익명나라 말 청나라 초의 문인의 남다른 감식안을 만나 속 내용이 모두 드러나 조선 사람들을 크게 부끄럽게 만들었으니 애석하도다,추론형
전염병으로 중국 내수가 위축되고 소비가 줄어들면 중국 수출 비중이 큰 한국 경제에 타격은 불 보듯 뻔하다는 얘기다,추론형
내 생각이 옳고 상대가 틀렸다는 걸 확인하니 절로 기분이 좋아진다,추론형
이들 인사가 왜 민주당을 택했는지 감이 잘 안 온다,추론형
양질의 일자리 창출밖에 없다,추론형
메스너의 책 검은 고독 흰 고독에는 이런 문장이 있다,추론형
문제는 이주대책이 소유자에 국한됐다는 점이다,추론형
비록 하루아침에 스토리텔링 전문가가 될 순 없다 해도 말이다,추론형
약을 장기간 복용해 부작용으로 합병증이 생겼는데 또 다른 약을 쓰고 있으니 문제가 되는 것이다,추론형
하늘의 법이나 도덕을 세상에 구현한다고 했지만 현실은 전쟁과 폭정으로 얼룩졌다,추론형
국제유가 증가세와 천문학적 적자로 전기요금을 올리려던 한국전력공사의 시도에도 제동을 걸었다,추론형
문제는 이들 영국미국 a 금리 연계 a 만기가 오는 11월에 집중된다는 점이다,추론형
모바일게임 시장은 이런 산업 상황에서 새출발할 수 있는 전기를 마련했지만 결국 다시 원점으로 돌아온 셈이다,추론형
하지만 사회든 골프장이든 두려움보다 더 중요한 요소는 공정함일지도 모른다,추론형
흔들바위는 역시 마그마 활동으로 지상으로 돌기되었던 큰 바위인데 수천만 년의 풍화 끝에 암석의 핵에 해당되는 지금의 부분만 둥글둥글한 모습으로 남게 되었다,추론형
세계가 1차 대전의 공포에 휩싸인 것은 당연하다,추론형
한국인이라면 어린 시절부터 많이 접했을 장영실 이야기이지만 역시 허 감독만의 관점이 드러난다,추론형
우리은행 주담대 금리 상단이 연 1를 돌파하면서 신한 a국민 하나 a농협 등 시중은행에서도 같은 흐름이 예상된다,추론형
경기 위축에 대한 불안감으로 오히려 각국이 경기 부양 정책을 써 상황이 이후 반전될 가능성도 있다,추론형
세계 최고 선수들이 모이는 탁구대회가 되기 위해선 중국 대표팀이 반드시 있어야 한다,추론형
탄력근로제 입법이 실패하자 정부는 재난재해로만 묶여 있던 특별연장근로 인가 사유를 돌발적 상황과 통상적이지 않은 업무량 증가 등 경영상 요인까지 포함하는 안을 추진하고 있기 때문이다,추론형
그런 점에서 볼 때 이 사람을 주인공으로 삼은 영화가 이토록 드물다는 건 다소 의아한 부분이 있다,추론형
감기인지 암인지를 먼저 확인해야 치료를 할 수 있는 것과 똑같다,추론형
지금 당장 우리도 깨끗한 공기로 숨 쉴 수 있는 현실이 중요하다,추론형
황침은 들어가지도 물러나지도 못한 채 오랫동안 문 밖에 서 있어야 했다,추론형
고려 말 충신 목은 이색은 명나라에 황제태조 주원장 재위 11를 만나러 갔다가 황제에게 심한 놀림을 당했다,추론형
극을 보는 내내 웃음이 끊이지 않고 재미있다,추론형
정리의 마법사라 불리는 곤도 마리에가 물건에 자리를 만들어줘야 한다고 했던 말을 기억해본다,추론형
올해도 사정은 별반 다르지 않다,추론형
고칼로리 배달음식 섭취나 운동량 감소 등의 여파로 한미약품의 혈액순환 건강기능식품 한미 오메가1맥스가 주목을 받고 있다,추론형
싱가포르의 a 기업 훅a을 인수해서 타임 투 마켓은 1개월로 비용은 1분의 1로 줄일 수 있었다,추론형
분유는 젖병에 들어있는 시판 액상분유나 일회용 젖병을 사용하고 폐기하는 것을 권장한다,추론형
양방치료로는 고주파 온열암치료 싸이모신 알파 이뮨셀 면역세포 배양요법 고농도 비타민a 등을 사용해 항암방사선 치료로 인한 기력 저하 체중 감소 오심 구토 증상 등을 완화하는 데 도움을 준다,추론형
a 기술 발전은 동물 영화 제작을 예전보다 수월하게 만드는 원동력이 되고 있다,추론형
이른바 채굴세 도입 전 a 채굴자 펀드a a a가 우선적으로 설립돼야 한다,추론형
산악문학은 감동적일 수밖에 없다,추론형
이 기간을 어떻게 쓰느냐에 따라 웃고 우는 선수가 뒤바뀔 수도 있다,추론형
그런데 11 총선까지는 전략적 이별이다 그 후에는 상황을 보고 함께한다는 전제는 같이 가져가되라는 정봉주 열린민주당 최고위원 발언을 보면 더불어민주당과의 거리 두기는 일시적으로 보인다,추론형
유구국 세자는 시를 지어 떠도는 혼이 고국에 돌아가도 위로해줄 친척 없어라 교린의 옛 정의는 어디 있단 말인가라며 이기빈을 꾸짖었다,추론형
전시는 사상계의 흐름과 그것이 지닌 담론을 이해하고자 하는 노력이다,추론형
씨엘의 곡과 박봄 산다라의 노래는 발표 직후 빌보드 월드 디지털 세일즈 송 차트 1위권에 모두 안착하며 투애니원의 저력을 증명했다,추론형
조그마한 일에도 경솔하게 떠들어 사람이 많아도 성취하는 일은 별로 없다,추론형
너무 많이 가지다 보니 갈망도 그리움도 시들해졌고 덩달아 삶의 의미도 이유도 힘을 잃었다,추론형
복잡계의 변화는 예측과 통제가 극히 어렵다,추론형
나도 중산층에 진입할 수 있다는 기대를 갖거나 중산층이라는 소속감을 느끼게 하는 일이다,추론형
코로나 팬데믹도 다 끝나가는 마당에 이제 와서 마스크 마케팅을 왜 할까 의문이 들 수도 있다,추론형
예나 지금이나 술김에 사건 사고가 일어나는 것은 다르지 않다,추론형
우리는 이이의 주장대로 임진왜란 이전에 1만 대군을 키웠다면 전쟁을 막을 수 있었을 것으로 이해한다,추론형
본인 소득과 주택 매입 가격이 정책 대출 요건에 해당하는지도 함께 살펴야 한다,추론형
드림즈가 마침내 전 구단 주목을 받는 팀으로 거듭났을 때 진짜 위기가 터진다,추론형
승리는 진주목사 김시민 11의 탁월한 리더십이 있어서 가능했다,추론형
비디오몬스터는 숏폼 영상 솔루션인 비디오몬스터 고객인 소상공인과 소규모 사업주를 지속적으로 확대하고 롱폼 영상 제작 솔루션 비브 사용자로 일반인을 새롭게 유입하게 되면서 사업의 시너지 효과를 낼 수 있을 것으로 기대하고 있다,추론형
고등학교 내신 성적이 좋지 않았기 때문이다,추론형
서서히 진행되긴 하지만 악화되면 시력을 잃거나 다리를 절단하거나 혈액 투석을 받는 상황에 이르게 되므로 절대 방심해서는 안 된다,추론형
1억1만화소 카메라에는 듀얼픽셀 방식을 적용하기 어렵기 때문이다,추론형
세계 랭킹이 최근 급상승해 1위까지 올랐지만 호시탐탐 순위 역전을 노리는 경쟁자가 많아 경계를 늦출 수 없다,추론형
코픽스가 1년 새 1배 이상 오르면서 신규 취급액 기준으로 1를 코앞에 뒀다,추론형
이 과정에서 조사관들이 중종 시신의 특징을 설명하면서 내시나 상궁 등 과거 중종의 주변 인물들이 왕을 묘사한 기록을 제시한 부분이 흥미롭다,추론형
1년부터 판매되기 시작한 이 상품으로 예금 금리의 두 배 이상 수익을 거둔 투자자가 수두룩한데 한 차례 손실이 났다고 문제 상품으로 낙인을 찍어버렸다,추론형
코로나1는 특정 국가에 집중된 글로벌 공급망의 위험성을 일깨워줬다,추론형
정보 미디어의 영향이 갈수록 커지는 사회 속에서 자칫하면 정보가 뇌의 주인자리를 차지하기 쉽다,추론형
부산시는 1년 만에 다시 a 정상회의를 유치해 도시 경쟁력을 끌어올리겠다는 각오다,추론형
그러나 갈라버스에 참여한 한국 게임사들은 개발한 게임을 현재 한국 내에서는 제공할 수 없는 현실에 안타까움을 피력했다,추론형
코로나1의 위험을 경고했다가 잡혀가 반성문을 쓰고 나온 중국 의사 리원량1은 죽었지만 중국인의 가슴속에 자유에 대한 절규로 부활했다,추론형
이런 처방을 받은 환자들이 어떤 상태에 빠질지는 한번 생각해 볼 일이다,추론형
특히 반전에 반전을 거듭하며 한 치 앞도 내다볼 수 없게 하는 플롯이 영미권 관객들 마음을 사로잡았다,추론형
한국영화아카데미 졸업작품 지리멸렬1에서부터 사회 병폐를 유머러스하게 꼬집는 블랙코미디로 주목 받았다,추론형
a캐피탈의 a a 캐피탈은 신차할부렌터카자동차리스의료기기리스 등의 상품 이용시 월납입금액 또는 수수료 할인 혜택을 제공받을 수 있다,추론형
내년에는 공무원들도 꼭 한번 참석해보길 권한다,추론형
우리나라 옷은 소매가 넓고 큰 두루마기를 겹겹이 입어 활동하기가 이만저만 불편한 게 아니었다,추론형
지난해 설비 투자액이 1조1억원이었다는 점을 감안하면 1조1억원의 투자 증가 효과가 나올 것으로 분석된다,추론형
이에 따라 모바일페이 업체는 더이상 운용수익을 창출하기 어려워졌다,추론형
통풍은 남성 환자가 1 이상을 차지하는 대표적인 남성 질환임을 알 수 있다,추론형
코로나 역시 독감과 같은 양상으로 진행될 것으로 전망되는 만큼 치료제의 중요성이 더욱 커졌다,추론형
조선의 자기 하면 달항아리로 대표되는 백자를 주로 떠올리지만 기교적 측면에서 고려청자에 비교할 바가 못 된다,추론형
배우 김윤석 주원 수애 김옥빈 이다희 김성오 등의 아티스트들이 소속돼 있으며 강릉 캐시트럭 등 국내외 영화의 배급 및 온라인 유통 사업도 영위하고 있다,추론형
운영인력 투입 네트워크 구축 a 관리 등으로 직접적 수익은 없지만 비용만 많이 드는 뒷단의 업무를 수행한 것이다,추론형
강포한 도적 임꺽정은 양주 백정으로서 성격이 교활한데다가 날쌔고 용맹스러웠다,추론형
이날 경찰 내부망 폴넷 내 게시판 현장활력소에는 행안부의 조직 개편안에 반대하는 목소리가 쏟아졌다,추론형
노년에 접어들어 글씨 잘 쓰는 일이 문장을 잘 짓는 일보다 어렵다고 한탄했다,추론형
연소득 청약통장 가입 기간 자녀 수 신규 분양 주택 여부 등에 따라 우대금리를 적용하면 연 11까지도 낮출 수 있다,추론형
일본의 전력 부족은 화력발전소 가동 중단과 원전 재가동 부진 지난 1월 후쿠시마현 앞바다 지진 여파 등이 복합적으로 영향을 미친 결과다,추론형
객석도 독감 안전지대는 아니다,추론형
우리가 불행한 건 그것 때문일지도 모른다,추론형
누군가는 자신의 꿈을 위하여 누군가는 마지못해서 또 누군가는 어른들의 욕심으로 가장 찬란한 시절을 가장 잔인하게 보내고 있는 네 명의 천재들이다,추론형
충족된 것 같지만 허전하다,추론형
지금 상황에서는 농협금융지주 회장 자리에 제갈공명이 와도 안 된다,추론형
게다가 물가 안정을 위한 윤 대통령의 의지도 연일 강조되고 있어 당정 차원의 물가 안정 대책 마련은 급물살을 탈 가능성이 높다,추론형
인기의 자기강화다,추론형
우리 조상들은 예의와 학문을 중시하면서도 책은 그리 귀하게 여기지 않았던 모양이다,추론형
제주도가 확진자 1명의 코로나 청정지역을 유지해온 비결은 이런 호들갑 덕분이다,추론형
웃고 있다가도 갑자기 호쾌한 액션으로 바뀌는 질리지 않는 전개가 오늘부터 우리는의 재미를 견인한다,추론형
오히려 호흡기 손상을 일으킬 수 있어 주의해야 한다,추론형
물론 오염이 심할 경우 합성 비누를 사용할 수밖에 없지만 꼼꼼하게 헹궈주고 식초를 희석시킨 물에 담갔다 다시 헹궈서 마른 행주로 꼼꼼히 말려주면 작은 부작용도 피해갈 수 있다,추론형
덴탈마스크는 코로나1가 대체적으로 비말 감염으로 옮긴다는 점에서 유용하다,추론형
망나니가 사람을 죽일 때 칼을 씻던 뚜께우물이 이곳에서 발견되어 역사 속 순교를 확인할 수 있다,추론형
호주 인도 카타르를 상대로 좋은 결과를 낸다고 해도 문제는 이란이다,추론형
울산바위 탐방로의 주요 지점인 흔들바위와 다를 바 없이 보이는 엉뚱한 바위들이 아슬아슬한 모습으로 서 있기도 하다,추론형
가상화폐 시장 전체 시황에 빨간불이 켜진 것도 스테이블 코인의 안정성에 우려를 더한다,추론형
이벤트 페이지 내 마련된 a 공유하기를 통해 친구에게 사전예약 소식을 즉시 알릴 수 있으며 컴프매 걸스 예측 이벤트를 위한 힌트도 서로 공유할 수 있다,추론형
1열을 접으면 1 대용량 적재가 가능해 캠핑 차박 등 레저 활동을 즐길 수 있다,추론형
무엇보다 코로나1 사태 1년간 위축된 탓에 최근 폭발적으로 증가하는 다이닝 수요를 얼마나 끌어올 수 있을지가 관건이다,추론형
교직원공제회가 1 출자한 더케이손해보험은 규모는 작지만 종합손해보험 라이선스를 갖고 있어 매력적이다,추론형
이는 우후죽순 생겨나 에어라인 파일럿의 꿈을 가진 학생들을 상대로 돈벌이에 급급한 국내 몇몇 대학교의 항공운항과를 가서 억대의 돈과 시간을 낭비를 하는 현재 상황에서 에어라인 파일럿이 되는 방안으로 환영 받을 일이기도 하고 아울러 수익성도 가져갈 수 있기에 시도해볼 만한 내용으로 보인다,추론형
김 정책실장이 언급한 달은 문 대통령을 뜻하는 것으로 보인다,추론형
실제로 정 구청장은 지난 두 번의 임기 동안 도시계획에서 눈에 띄는 성과로 주민들로부터 긍정적인 평가를 받았다,추론형
리더가 되고자 하는 사람에게 명상a은 외부로 뻗어있는 의식을 내면으로 향하게 하며 스스로에 대한 성찰과 영감을 얻을 수 있는 최선의 선택이 될 수 있다,추론형
그중에서도 남편을 죽인 여인의 처벌은 무척 낯설다,추론형
단한 번도 경험해보지 못한 선거를 경험할 판이다,추론형
이집은 고려 말 과거에 급제해 정1품 판전교시사까지 올랐으나 고려에 대한 충절을 지키기 위해 광주강동구 둔촌동에 은둔했다,추론형
강점은 국내에서도 팬층이 두터운 서브컬처 게임 장르의 재미 요소들을 대거 탑재한 점이다,추론형
짝수년인 올해 1월에는 광주 비엔날레와 부산 비엔날레 서울미디어시티 비엔날레 등이 일제히 열려 미술 애호가들의 발걸음이 분주해질 것으로 보인다,추론형
이긍익의 연려실기술에 따르면 예종은 세자 때부터 세조의 사랑을 독차지하던 남이를 매우 못마땅하게 여겼다,추론형
한국당 하면 구기득권과 보수가 섞인 이미지인데 지금 한국당은 기득권 대신 보수 색채를 흐리려고만 한다,추론형
이번 행사에서 이 같은 솔루션으로 화웨이가 아태 시장에서 확보한 막대한 영향력을 체감할 수 있었다,추론형
계약서를 작성한 사람은 이미 자신의 이익을 충분히 반영해 작성했을 것이라고 본다,추론형
나이가 들면 기억력이 급격하게 감퇴하며 이런 증상이 반복되면 치매에 대한 우려로 자연스레 연결될 수밖에 없다,추론형
더 큰 공포가 몰려오면 나약한 인간은 또 탐욕 쪽으로 기울 수 있다,추론형
인구 감소 사회는 위험하다는 착각은 인구론의 새로운 관점을 제시하는 제법 괜찮은 처방전이다,추론형
그 자체가 하나의 장르라고 일컬어지는 봉준호 작품세계는 소설가의 외손자이자 좌절한 만화가 그리고 씨네키즈였던 그의 정체성이 혼합된 결과물인 셈이다,추론형
그런데 이런 현대의학의 한계를 보완할 수 있는 방법을 찾지 못하면 환자 수는 기하급수적으로 늘어나게 될 것이 뻔하다,추론형
연계된 금리가 다시 튀어 오르면서 지금 a는 다시 수익을 내고 있지만 더는 a에 투자할 수 없다,추론형
다른 산업과 마찬가지로 문화 역시 해외에서 길을 찾아야 하는 이유다,추론형
이런 패턴을 반복하다 보니 11가지는 예사이고 하루도 빠지지 않고 11가지의 약을 복용하는 사람들이 주변에 얼마나 많은지 모른다,추론형
아니 그렇게 믿고 싶어 한다,추론형
그런 의미에서 제주도의 방역 대응은 귀감이 될 만하다,추론형
하지만 산모가 강력히 원하거나 부득이하게 신생아와 접촉이 필요한 경우에는 산모와 신생아 사이에 커튼을 두거나 1 이상 거리를 둬야 한다,추론형
신용카드 매출 감소액 등 증빙서류를 갖추고 먼저 신청하도록 하는 방법도 있을 것이다,추론형
지난 1일 교섭에서 결렬을 한 번 초래한 요인이기도 하고 자칫 이번 총파업과 유사한 노동계 투쟁의 불씨가 될 수 있다,추론형
사실 이 군사 작전이 러시아의 무력 합병이었다면 북대서양조약기구a가 개입했어야 했다,추론형
순수했기에 어리석었고 가장 가까운 타인에게 상처를 주는 결정을 내렸으면서도 그 결정이 충동적이었던 탓에 스스로 책임지지 못하는 아사코는 지켜보는 입장에선 민폐 캐릭터지만 우리에겐 누구나 아사코 같은 면이 있기에 마냥 비난할 수만은 없다,추론형
볼커의 뚝심은 1년 중반부터 효과가 나타났다,추론형
해골병사는 자신의 머리 해골스컬을 교체해 사실상 새로운 캐릭터로 변신할 수 있다,추론형
잡음의 영향력이 극대화되는 건 대중적 취향과 정치의 영역이다,추론형
중대형 배터리 신제품은 a에너지솔루션이 내년 양산하는 1 배터리지름 1 길이 1와 같은 크기거나 이보다 길 것으로 보인다,추론형
하지만 바이러스 폐렴은 환자의 면역력으로 회복이 가능하다,추론형
카카오게임즈의 서비스 운영 역량이 얼마나 힘을 발휘할지가 중요한 부분이다,추론형
특히 사우샘프턴전에서 토트넘 주 공격수 해리 케인햄스트링과 중원의 탕기 은돔벨레사타구니가 모두 부상으로 그라운드를 떠나 전력 손실이 발생하면서 첼시와의 승점 차1점도 멀어 보인다,추론형
달빛조차 없는 밤길이 무서운 건 앞에 무엇이 나타날지 모르기 때문인 것과 마찬가지다,추론형
전염병이 퍼질 때 우리가 할 일은 패닉이 아니라 적과 맞설 공동체 일원으로서 규율을 지키는 것이다,추론형
공식적으로 말할 수는 없지만 일본은 방사능 문제가 해결되지 않은 것으로 보여 선수단이 최대한 오래 머물지 않으려 한다,추론형
넥슨과 a아시아스튜디오는 피파모바일의 a스포츠 종목으로의 가능성도 타진한다,추론형
이에 효종은 네가 임금이 되면 억울하게 죽임을 당하는 자가 없겠다며 기뻐했다,추론형
청춘영화로 한정하기에 영화의 만듦새는 훌륭하다,추론형
햇빛이 강할수록 노출된 시간이 길어질수록 제품을 갖고 다니며 덧발라줘야 한다,추론형
목하 영세 자영업자들의 상황이 얼마나 절박한지를 보여준다,추론형
알고 있으면 쓸모가 있는 위치 정보이다,추론형
일러야 1년 이후가 될 것으로 관측된다,추론형
목매어 죽은 자는 숨이 넘어갔더라도 아랫배가 따뜻하면 살릴 수 있다,추론형
1인 정도의 스몰 웨딩을 준비한다면 루프톱 웨딩과 애프터 파티가 가능한 코트야드 메리어트 서울 남대문의 서머 웨딩 인 남대문 스위트a a a a a 패키지를 추천한다,추론형
기업 투자 유치를 통한 일자리 창출을 도정의 최우선 과제로 삼기 위해서였다,추론형
내가 쓰는 물건의 자리를 어디로 지정할지는 스스로 결정하면 될 일이다,추론형
그러나 안전운임제 적용 품목 확대를 논의하기로 한 점에 대해선 우려의 목소리를 냈다,추론형
상상도 해본 적이 없는 일이 실제로 벌어지니까 너무 기쁘다,추론형
행복이 모두에게 평등하고 보편적이지 않다면 나 역시 행복할 수 없다,추론형
하이재킹 당한 드론은 범죄에 악용될 수 있다,추론형
이러니 시장군수 지방의회 의원이 하는 일과 국회의원이 하는 일이 뭐가 다른지 헷갈릴 지경이다,추론형
그러나 1주 이상 만성기침이 이어진다면 정확한 원인을 밝혀내는 것이 중요하다,추론형
이러한 이유로 불과 몇 년 전만 해도 유방암의 전이가 진행된 경우 좌절감과 두려움을 호소하는 환자들을 쉽게 볼 수 있었다,추론형
